book_id,rating,number_of_likes
38198450,3,80
49443,2,29
101247,3,88
92517,2,30
16078823,2,75
15802385,1,13
38922850,2,32
16150320,2,51
21532090,4,26
25631442,2,8
1038166,4,65
15803161,1,79
13600791,3,35
11989,2,15
9262,1,33
14069,4,21
4517257,3,84
17331403,2,4
1373315,5,8
937116,4,48
77887,1,10
16099196,3,71
12349615,0,5
90749,1,11
12287209,1,4
12899734,2,22
18667785,4,44
116297,2,2
12835220,2,70
173233,0,11
1364062,0,66
30508147,0,93
11729275,2,14
17285883,5,43
852554,2,83
29939390,0,53
18646,3,38
25344650,1,8
6617185,0,87
757104,5,99
18480550,1,37
12368985,2,74
18455357,3,10
41153868,1,29
40448,0,9
29534432,3,22
24569,2,48
680170,0,14
9993725,2,58
13019704,4,0
32419641,1,36
7685281,0,67
338121,4,55
5190,2,8
35658894,0,3
18209468,1,3
462712,4,54
16170921,2,11
296901,0,92
127179,1,20
7731996,0,24
27242540,3,71
12905437,2,13
8460524,5,12
33895090,5,10
23219470,2,16
1569144,2,30
22557447,1,49
9999813,5,5
12447,1,0
617526,3,15
15832828,4,31
12885738,0,74
205330,2,15
13459513,5,9
41744510,0,9
27429680,2,58
20743633,2,77
142849,0,4
62802,1,16
13088405,2,5
28245707,1,2
15726478,1,19
449017,3,96
9742401,2,51
18050015,3,89
206899,5,19
13515025,2,5
153492,5,13
13092515,5,14
12109310,2,6
61179,3,68
42278964,5,70
248482,4,33
39986793,4,40
20645624,5,13
38484311,3,7
13643222,1,37
252268,0,18
16052099,0,36
18079682,0,2
9517,2,30
10457746,1,18
35614467,5,21
1178666,3,5
2696611,4,58
375108,1,18
7488686,1,5
17184930,3,12
1136604,2,11
22013040,3,20
16587763,2,2
276972,2,96
35610664,1,55
7362158,1,59
1207904,0,19
73806,2,49
84748,2,12
9742,2,20
16247779,1,78
10729298,4,55
159334,2,51
9436877,2,19
13271221,5,20
182134,0,51
7041181,0,94
5587,1,5
10593908,4,15
18594646,0,20
30056820,2,3
18018509,2,11
11735983,2,35
295000,4,70
133499,0,18
42655408,5,17
22738703,1,95
23390134,3,46
6381830,0,12
24734627,2,15
28684363,1,9
816085,4,19
468657,4,7
24704529,4,0
22500506,3,13
94060,2,5
150253,3,18
20908097,1,75
33783055,4,70
20804235,4,84
500463,1,46
18588596,1,15
31248158,0,63
24885790,1,12
11038479,4,58
190180,3,1
25503002,4,65
17790646,3,56
23878,5,85
18364996,4,83
8835897,4,64
16176440,2,0
7626019,1,87
2347881,4,46
867650,4,11
23506169,1,8
22044340,2,14
15829015,1,12
12875436,0,50
10397655,1,12
24872027,0,18
28109691,0,71
22859788,2,32
176556,5,5
